Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_login_001,Chrome 120.0.0.0,DDT_Amazon_login_001 test case is used in the test suite,,23-01-2024 19:36:27,23-01-2024 19:38:36,2m - 8.485s,FAILED
,,,,,,,
Test Cases/DataDrivenTesting/DDT_Amazon_login_001,Chrome 120.0.0.0,Data driven testing to login into Amazon website,,23-01-2024 19:37:45,23-01-2024 19:38:36,50.670s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,23-01-2024 19:37:45,23-01-2024 19:37:47,2.345s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,23-01-2024 19:37:47,23-01-2024 19:37:52,4.697s,PASSED
"click(findTestObject(""Object Repository/DDT_Amazon_Login_001_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,23-01-2024 19:37:52,23-01-2024 19:38:36,43.576s,FAILED
