Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 19:29:41,30-01-2024 19:29:50,8.928s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 19:29:50,30-01-2024 19:29:51,1.320s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 19:29:51,30-01-2024 19:29:55,3.943s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 19:29:55,30-01-2024 19:29:55,0.466s,PASSED
,,,,,,,
Test Cases/DataDrivenTesting/Validate_searchfield_TC_002,Chrome 120.0.0.0,validating the search field with with different inputs,,30-01-2024 19:29:55,30-01-2024 19:30:10,14.833s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 19:29:56,30-01-2024 19:29:57,1.465s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 19:29:57,30-01-2024 19:29:58,1.100s,PASSED
delay(3),Chrome 120.0.0.0,,,30-01-2024 19:29:58,30-01-2024 19:30:01,3.018s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 19:30:01,30-01-2024 19:30:05,3.497s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 19:30:05,30-01-2024 19:30:06,1.326s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 19:30:06,30-01-2024 19:30:10,3.980s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 19:30:10,30-01-2024 19:30:10,0.422s,PASSED
