Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByLabel(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/All_Departments""), category, true)",Chrome 121.0.0.0,,,31-01-2024 18:47:23,31-01-2024 18:47:24,1.215s,PASSED
delay(10),Chrome 121.0.0.0,,,31-01-2024 18:47:24,31-01-2024 18:47:34,10.014s,PASSED
"setText(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/Search_txt_field""), item)",Chrome 121.0.0.0,,,31-01-2024 18:47:34,31-01-2024 18:47:35,0.693s,PASSED
"click(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/iSearch_btn""))",Chrome 121.0.0.0,,,31-01-2024 18:47:35,31-01-2024 18:47:40,5.275s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 18:47:40,31-01-2024 18:47:41,0.483s,PASSED
,,,,,,,
Test Cases/AmazonLogin_Page/TC_SearchField_002,Chrome 121.0.0.0,validate drop down button to search different categories of product,,31-01-2024 18:47:41,31-01-2024 18:48:18,37.007s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 18:47:41,31-01-2024 18:47:43,2.192s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 18:47:43,31-01-2024 18:47:45,1.518s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 18:47:45,31-01-2024 18:47:46,1.384s,PASSED
refresh(),Chrome 121.0.0.0,,,31-01-2024 18:47:46,31-01-2024 18:47:47,0.633s,PASSED
delay(10),Chrome 121.0.0.0,,,31-01-2024 18:47:47,31-01-2024 18:47:57,10.013s,PASSED
"selectOptionByLabel(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/All_Departments""), category, true)",Chrome 121.0.0.0,,,31-01-2024 18:47:57,31-01-2024 18:48:01,4.835s,PASSED
delay(10),Chrome 121.0.0.0,,,31-01-2024 18:48:01,31-01-2024 18:48:11,10.014s,PASSED
"setText(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/Search_txt_field""), item)",Chrome 121.0.0.0,,,31-01-2024 18:48:11,31-01-2024 18:48:12,0.687s,PASSED
"click(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/iSearch_btn""))",Chrome 121.0.0.0,,,31-01-2024 18:48:12,31-01-2024 18:48:17,5.253s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 18:48:17,31-01-2024 18:48:18,0.453s,PASSED
,,,,,,,
Test Cases/AmazonLogin_Page/TC_SearchField_002,Chrome 121.0.0.0,validate drop down button to search different categories of product,,31-01-2024 18:48:18,31-01-2024 18:48:52,33.858s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 18:48:18,31-01-2024 18:48:21,2.716s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 18:48:21,31-01-2024 18:48:22,1.371s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 18:48:22,31-01-2024 18:48:23,1.032s,PASSED
refresh(),Chrome 121.0.0.0,,,31-01-2024 18:48:23,31-01-2024 18:48:24,0.493s,PASSED
delay(10),Chrome 121.0.0.0,,,31-01-2024 18:48:24,31-01-2024 18:48:34,10.014s,PASSED
"selectOptionByLabel(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/All_Departments""), category, true)",Chrome 121.0.0.0,,,31-01-2024 18:48:34,31-01-2024 18:48:35,1.454s,PASSED
delay(10),Chrome 121.0.0.0,,,31-01-2024 18:48:35,31-01-2024 18:48:45,10.009s,PASSED
"setText(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/Search_txt_field""), item)",Chrome 121.0.0.0,,,31-01-2024 18:48:45,31-01-2024 18:48:46,0.742s,PASSED
"click(findTestObject(""SearchField/Validate_SearchField/SearchField_OR_002/iSearch_btn""))",Chrome 121.0.0.0,,,31-01-2024 18:48:46,31-01-2024 18:48:51,5.577s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 18:48:51,31-01-2024 18:48:52,0.426s,PASSED
