Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 15:14:37,30-01-2024 15:14:46,9.841s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 15:14:46,30-01-2024 15:14:48,1.329s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 15:14:48,30-01-2024 15:14:53,5.639s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 15:14:53,30-01-2024 15:14:54,0.592s,PASSED
,,,,,,,
Test Cases/DataDrivenTesting/Validate_searchfield_TC_002,Chrome 120.0.0.0,validating the search field with with different inputs,,30-01-2024 15:14:54,30-01-2024 15:15:13,19.481s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 15:14:54,30-01-2024 15:14:56,1.619s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 15:14:56,30-01-2024 15:14:57,1.686s,PASSED
delay(3),Chrome 120.0.0.0,,,30-01-2024 15:14:57,30-01-2024 15:15:00,3.004s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/select_All Departments""), category, false)",Chrome 120.0.0.0,,,30-01-2024 15:15:00,30-01-2024 15:15:04,4.107s,PASSED
"setText(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), items)",Chrome 120.0.0.0,,,30-01-2024 15:15:04,30-01-2024 15:15:06,1.282s,PASSED
"click(findTestObject(""Object Repository/SearchField/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 15:15:06,30-01-2024 15:15:13,7.192s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 15:15:13,30-01-2024 15:15:13,0.570s,PASSED
